Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
02564/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE PREFERENTE INTERÉS Y NECESIDAD PÚBLICA LA CREACIÓN DEL VIADUCTO BICENTENARIO ENTRE LA AV. CIRO ALEGRÍA-VÍA DE EVITAMIENTO DE LOS DISTRITOS DE JESÚS NAZARENO Y ANDRÉS A. CÁCERES, PROVINCIA DE HUAMANGA, DEPARTAMENTO DE AYACUCHO;Propone declarar de preferente interés y necesidad pública la creación del Viaducto Bicentenario entre la Av. Ciro Alegría.Vía de Evitamiento de los distritos de Jesús Nazareno y Andrés A. Cáceres, provincia de Hamanga, departamento de Ayacucho.
02563/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE EXCEPTÚA TRANSITORIAMENTE A LOS TRABAJADORES DE LA SUNARP DE LOS ALCANCES DE LA LEY 30057-LEY DEL SERVICIO CIVIL;Propone ley que exceptúa transitoriamente a los trabajadores de la SUNARP de los alcances de la Ley 30057-Ley del Servicio Civil
02562/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Acción Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA Y PREFERENTE INTERÉS NACIONAL LA EJECUCIÓN DEL PROYECTO QUE COMPRENDE LA REPRESA CCECHCCAPAMPA Y DOS CENTRALES HIDROELÉCTRICAS EN EL ÁMBITO BI-DEPARTAMENTAL DE AREQUIPA-AYACUCHO;Propone declarar de necesidad pública y de preferente interés nacional la ejecución del proyecto que comprende la Represa de Ccechccapampa y dos centrales hidroeléctricas en el ámbito bi-departamental de Arequipa y Ayacucho.
02561/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Acción Popular;LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE AMPARAES, EN LA PROVINCIA DE CALCA, DEPARTAMENTO DE CUSCO;Propone declarar de interés nacional la creación del distrito de Amparaes, en la provincia de Calca, en el departamento de Cusco.
02560/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE INTERÉS PÚBLICO LA INCORPORACIÓN DE CONTENIDOS CURRICULARES RELACIONADOS A LOS RIESGOS DE DESASTRES EN EL CURRICULO NACIONAL DE LA EDUCACIÓN BÁSICA Y MODIFICA EL LITERAL C), DEL ARTÍCULO 47 DE LA LEY 27867, LEY ORGÁNICA DE GOBIERNOS REGIONALES;Propone declarar de interés público la incorporación de contenidos curriculares referidos a los Riesgos de Desastres en el Curriculo Nacional de la Educación Básica, tomando en consideración las características propias que presenta cada ámbito geográfico del territorio nacional.
02559/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA LA LEY 27157-LEY DE REGULARIZACIÓN DE EDIFICACIONES, DEL PROCEDIMIENTO PARA LA DECLARATORIA DE FÁBRICA Y DEL RÉGIMEN DE UNIDADES INMOBILIARIAS DE PROPIEDAD EXCLUSIVA Y DE PROPIEDAD COMÚN;Propone modificar el artículo 50 de la Ley 27157-Ley de Regularización de Edificaciones, del Procedimiento para la Declaratoria de Fábrica y del Régimen de Unidadaes Inmobiliarias de Propiedad Exclusiva y de Propiedad Común.
02558/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY DE EVALUACIÓN PREVIA DE LOS ACTOS DE CONCENTRACIÓN ECONÓMICA;Propone Ley de Evaluación Previa de los Actos de Concentración Económica.
02557/2017-PE;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Poder Ejecutivo;;LEY QUE ESTABLECE NUEVOS PLAZOS PARA LOS ARTÍCULOS 13 Y 14 DE LA LEY 30693, LEY DE PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2018;Propone fijar nuevos plazos para las transferencias de recursos a los que se refieren los artículos 13 y 14 de la Ley 30693, Ley de Presupuesto del Sector Público para el Año Fiscal 2018.
02556/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN Y HABILITACIÓN DEL ÁREA INTERNACICONAL DE EMBARQUE Y DESEMBARQUE DEL AEROPUERTO INTERNACIONAL """"PADRE ALDAMIZ"""" DE PUERTO MALDONADO";"Propone declarar de necesidad pública e interés nacional que el Ministerio de Transportes y Comunicaciones como entidad concedente, evalúe la factibilidad de la construcción y habilitación del área internacional de embarque y desembarque del Aeropuerto Internacional """"Padre Aldamiz"""" de Puerto Maldonado."
02555/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA EL ARTÍCULO 45 DE LA LEY 30364, LEY PARA PREVENIR , SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR;Propone modificar el artículo 45, numerales 1, 4 de la Ley 30364, Ley para prevenir, sancionar y erradicar la violencia contra las mujeres y los integrantes del grupo familiar.
02554/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE FORTALECE EL DEBER DE COLABORACIÓN ENTRE ENTIDADAES RESPONSABLES DE BRINDAR INFORMACIÓN AL REGISTRO DE DEUDORES ALIMENTARIOS MOROSOS;Propone modificar el artículo 7 de la Ley 28970, Ley que crea el Registsro de Deudores Morosos
