Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
07714/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Partido Morado;LEY QUE ESTABLECE INSTRUMENTOS DE GESTIÓN DE SUELO URBANO PARA LA CREACIÓN DE VIVIENDA DE INTERÉS;Propone establecer instrumentos de gestión de suelo urbano para la creación de vivienda de interés social que determine las bases de un derecho a la viviendad digne, seguro y adecuado.
07713/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Partido Morado;LEY QUE MODIFICA LA LEY 27584, LEY QUE REGULA EL PROCESO CONTENCIOSO ADMINISTRATIVO;Propone establecer disposiciones pendientes a modificar las reglas de competencia territorial en los procesos contenciosos administrativo.
07712/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Frente Popular Agrícola del Perú;LEY QUE DECLARA DE INTERES NACIONAL Y NECESIDAD PUBLICA LA CREACION DEL DISTRITO DE OCCOBAMBA, EN LA PROVINCIA DE CANCHIS DE LA REGION DE CUSCO;Propone declarar de interés nacional y necesidad pública la creación del distrito de Occobamba, en la provincia de Canchis de la región de Cusco.
07711/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Frente Popular Agrícola del Perú;LEY QUE PROPONE LA CREACIÓN DE CUENTAS INDIVIDUALES DE CAPITALIZACIÓN CON FINES PENSIONARIOS PARA EMPRENDEDORES TRABAJADORES INDEPENDIENTES DEL SECTOR TRANSPORTE;Propone la creación de Cuentas Individuales de Capacitación con fines pensionarias para emprendedores trabajadores independientes del sector transporte.
07710/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Acción Popular;LEY QUE DECLARA A LAS CAMAS UCI, A LAS PLANTAS DE OXÍGENO FIJAS Y MÓVILES Y LOS BALONES DE OXÍGENO, COMO BIENES ESTRATÉGICOS VITALES;Propone que el Ministerio de Salud unifique los requerimientos para la adquisición de los Bienes Estratégicos Vitales por el Gobierno Central.
07709/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Acción Popular;LEY QUE GARANTIZA EL ACCESO A UNA PENSIÓN A LOS ASEGURADOS DEL SISTEMA NACIONAL DE PENSIONES QUE NO LOGREN ACCEDER A UN PENSIÓN BAJO EL REGIMEN DEL DECRETO LEY 19990;Propone establecer medidas extraordinarias que garanticen el acceso a una pensión a los asegurados del Sistema Nacional de Pensiones (SNP), que no logren acceder a una pensión regular por el Decreto Ley 19990, a consecuencia del impacto de la Covid-19.
07708/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Acción Popular;LEY QUE CREA EL FONDO UNIVERSAL DE ALTO COSTO EN SALUD;Propone crear el Fondo Universal de Alto Costo en Salud (Fondo Salud) como mecanismo nacional para brindar cobertura a los tratamientos de enfermedades de alto costo, así como establecer las disposiciones necesarias para su funcionamiento.
07707/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Fuerza Popular;LEY QUE DECLARA DE CARÁCTER PRIORITARIO E INTERÉS PÚBLICO LA CREACIÓN DEL DISTRITO DE LETIRÁ - BECARÁ, PROVINCIA DE SECHURA, DEPARTAMENTO DE PIURA;Propone declrar de carácter prioritario e interés público la creación del distrito de Letirá - Becará, en la provincia de Sechura, departamento de Piura.
07706/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO MUÑAPUCRO EN LA PROVINCIA DE CHINCHEROS, DEPARTAMENTO DE APURÍMAC;Propone declarar de interés nacional y necesidad pública la creación del distrito Muñapucro en la provincia de Chincheros departamento de Apurímac.
07705/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Unión por el Perú;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL FINANCIAMIENTO Y CONSTRUCCIÓN DEL PUENTE CARLOS DISTRITO DE INAMBARI, PROVINCIA TAMBOPATA, REGIÓN MADRE DE DIOS;Propone delarar de necesidad pública e interés nacional el financiamiento y construcción del Puente Carlos sobre el río Inambari, ubicado en el distrito de Inambari, provincia de Tambopata, región Madres de Dios, que permita la integración de las poblaciones ubicadas en las mencionadas circunscripciones.
